model,random_state,accuracy_general,MCC_general,F1_general,accuracy_ensemble,MCC_ensemble,F1_ensemble,alpha,training_size,test_size,train_distribution,test_distribution
NB,1,0.6454106280193237,0.30411014662725755,0.7602873938602221,0.8797101449275362,0.3256565089196702,0.9332618600911283,5,12840,2070,80.06,90.77
SVM,1,0.7874396135265701,0.37564607394356864,0.8705882352941177,0.8975845410628019,0.26893041078538277,0.9446764091858038,5,12840,2070,80.06,90.77
RF,1,0.821256038647343,0.37358227068029665,0.8944063926940639,0.9043478260869565,0.15833874335614978,0.9493346980552713,5,12840,2070,80.06,90.77
NB,2,0.6521317829457365,0.287222206230701,0.7688345138441726,0.8502906976744186,0.33393713783975126,0.9147115650013801,5,12846,2064,79.93,91.62
SVM,2,0.7795542635658915,0.3591263783150275,0.8660582867235795,0.9137596899224806,0.29329790013535667,0.9539813857290589,5,12846,2064,79.93,91.62
RF,2,0.8037790697674418,0.36130494765265486,0.8831168831168832,0.9016472868217055,0.20227461298780483,0.9474229474229473,5,12846,2064,79.93,91.62
NB,3,0.6587263004375303,0.31311721355120486,0.7723735408560312,0.8488089450656295,0.3325882347770955,0.9136830419095198,5,12853,2057,80.0,91.25
SVM,3,0.7880408361691784,0.3760184281500589,0.871386430678466,0.8988818667963053,0.3271928790378738,0.9449444150344097,5,12853,2057,80.0,91.25
RF,3,0.8001944579484687,0.3709936416085746,0.8801399825021873,0.904229460379193,0.103547811710012,0.9493963524274338,5,12853,2057,80.0,91.25
NB,4,0.6557776694295465,0.3057501688499464,0.7704811443433031,0.8469039492930278,0.35665083412561766,0.9120940649496081,5,12859,2051,79.98,91.37
SVM,4,0.7869332033154559,0.37103898557373055,0.8708247117942655,0.8868844466114091,0.3147515402400034,0.9378016085790885,5,12859,2051,79.98,91.37
RF,4,0.8230131643100926,0.3965648363033027,0.895419187554019,0.9058995611896635,0.16753323302345477,0.9500905094388414,5,12859,2051,79.98,91.37
NB,5,0.6679706601466993,0.3089457543827772,0.779902755267423,0.8601466992665037,0.26499164211806203,0.9218151995626025,5,12865,2045,80.05,90.95
SVM,5,0.7799511002444988,0.3606679706324321,0.8657517899761338,0.902200488997555,0.24187998993609539,0.9475890985324948,5,12865,2045,80.05,90.95
RF,5,0.8234718826405868,0.3797000333316679,0.8958753965964811,0.8860635696821516,0.15419365266496687,0.938635765077693,5,12865,2045,80.05,90.95
NB,6,0.6526162790697675,0.30276674794098557,0.7683360258481422,0.872093023255814,0.26613696012461463,0.9292604501607716,5,12846,2064,79.94,91.57
SVM,6,0.8047480620155039,0.3727518485505118,0.8834923388262503,0.8977713178294574,0.31126331168338867,0.9444005270092226,5,12846,2064,79.94,91.57
RF,6,0.811046511627907,0.33390634482749737,0.8886986301369864,0.9026162790697675,0.14728881042453026,0.9482625482625482,5,12846,2064,79.94,91.57
NB,7,0.6899073622623111,0.31889223574688347,0.7992424242424243,0.8625060945880059,0.30486135408358433,0.9229086932750137,5,12859,2051,79.91,91.86
SVM,7,0.7703559239395417,0.3416356249708253,0.86011286011286,0.9200390053632375,0.1490027273352526,0.9582059123343526,5,12859,2051,79.91,91.86
RF,7,0.8049731838127743,0.32349177176924604,0.8849252013808976,0.9073622623110678,0.08927927429463622,0.9511568123393316,5,12859,2051,79.91,91.86
NB,8,0.6541463414634147,0.30181599042961027,0.769580760480988,0.8678048780487805,0.29053109160187135,0.9263386789888557,5,12860,2050,79.96,91.51
SVM,8,0.7775609756097561,0.3792165273451738,0.8639618138424822,0.8746341463414634,0.30796016075887694,0.9303711731238147,5,12860,2050,79.96,91.51
RF,8,0.8014634146341464,0.3523053012638061,0.8816516429194534,0.9009756097560976,0.09753482697167634,0.9475316619281469,5,12860,2050,79.96,91.51
NB,9,0.6521313081822636,0.30285550630794594,0.768125408229915,0.8446839784419402,0.30666686587560454,0.9115266536421992,5,12869,2041,79.94,91.67
SVM,9,0.780499755022048,0.3979917630128675,0.8657074340527579,0.9137677609015189,0.23592848069513583,0.9542857142857144,5,12869,2041,79.94,91.67
RF,9,0.7966682998530132,0.3524807368089505,0.8784060943451508,0.9137677609015189,0.24080936448622992,0.9542619542619543,5,12869,2041,79.94,91.67
NB,10,0.6398058252427185,0.2872721949293712,0.758148631029987,0.8635922330097088,0.2715424529938397,0.9239512855209743,5,12850,2060,79.94,91.6
SVM,10,0.7888349514563107,0.36982311346800995,0.8723965972425931,0.8980582524271845,0.3051000460619043,0.9446202531645569,5,12850,2060,79.94,91.6
RF,10,0.8203883495145631,0.35067465658252345,0.8947068867387592,0.9106796116504854,0.09752368111457956,0.9530372639101582,5,12850,2060,79.94,91.6
BERT,1,0.7410628019323672,0.2831296210516558,0.8393285371702637,0.9033816425120773,0.14635872951254328,0.9488229273285569,0,12840,2070,80.06,90.77
BERT,2,0.7538759689922481,0.28885627758026655,0.849436870183758,0.9118217054263565,0.21563233647328336,0.9532614278376991,0,12846,2064,79.93,91.62
BERT,3,0.7544968400583374,0.2805845221388873,0.8498364555456438,0.9017987360233349,0.12132001600330311,0.947938144329897,0,12853,2057,80.0,91.25
BERT,4,0.7357386640663092,0.27256161847328214,0.8362537764350455,0.9122379327157484,0.25166330253046365,0.9533678756476685,0,12859,2051,79.98,91.37
BERT,5,0.7731051344743276,0.26322218502181166,0.8636096413874191,0.9007334963325183,0.09856565367677803,0.9474501682630081,0,12865,2045,80.05,90.95
BERT,6,0.7349806201550387,0.2927006345464153,0.8351913226875565,0.9089147286821705,0.12178696353566297,0.9519672968829841,0,12846,2064,79.94,91.57
BERT,7,0.7513408093612872,0.2532458160524808,0.8488441019561352,0.9151633349585568,0.08286595132792599,0.9555669050051072,0,12859,2051,79.91,91.86
BERT,8,0.7536585365853659,0.30559391155993404,0.848666466886425,0.9073170731707317,0.14473736172673832,0.9509803921568628,0,12860,2050,79.96,91.51
BERT,9,0.7437530622243999,0.2727710910472744,0.8425173140620295,0.9054385105340519,0.07924611338214495,0.9501163091238045,0,12869,2041,79.94,91.67
BERT,10,0.7014563106796117,0.2536593045430199,0.8108274377114735,0.9135922330097087,0.0884580071950973,0.95470737913486,0,12850,2060,79.94,91.6
