model,random_state,accuracy_general,MCC_general,F1_general,accuracy_ensemble,MCC_ensemble,F1_ensemble,accuracy_improved_ensemble,MCC_improved_ensemble,F1_improved_ensemble,alpha,training_size,test_size,train_distribution,test_distribution
NB,1,0.6555232558139535,0.3110738903042668,0.768780487804878,0.875484496124031,0.3621162979450634,0.9301820157565879,0.9084302325581395,0.1060997571555499,0.9518961567828963,5,5108,2064,49.98,90.79
SVM,1,0.7999031007751938,0.3977345759411953,0.8789211374963354,0.8885658914728682,0.33651438923136257,0.9386011745862253,0.9026162790697675,0.36408610438513167,0.9468956406869221,5,5108,2064,49.98,90.79
NB,2,0.6608357628765792,0.29388600599418147,0.7758509955041748,0.8566569484936832,0.3326175957554298,0.9187998898981556,0.9135082604470359,0.08843546264399177,0.9546612328069282,5,5143,2058,49.99,91.59
SVM,2,0.7837706511175899,0.34980198042983224,0.869309838472834,0.9067055393586005,0.25047817433455183,0.9501039501039501,0.8858114674441205,0.3395610315273914,0.9369127516778524,5,5143,2058,49.99,91.59
NB,3,0.6720351390922401,0.32085370032924304,0.7832258064516129,0.8706686188384578,0.35522643910010804,0.9272976680384087,0.9111761835041484,0.06350922296947241,0.9534526854219948,5,5126,2049,49.96,91.22
SVM,3,0.785261102977062,0.37060345024250774,0.8695136417556346,0.8921425085407516,0.3353689502050997,0.9407982855612109,0.8984870668618838,0.36338815030458715,0.944385026737968,5,5126,2049,49.96,91.22
NB,4,0.6425427872860636,0.2956309765876147,0.7596185465307465,0.8484107579462102,0.3483808759093241,0.9132138857782754,0.9114914425427872,0.06320744357088427,0.9536016406049731,5,5139,2045,50.01,91.39
SVM,4,0.7799511002444988,0.3593522129748954,0.8661511005353955,0.8845965770171149,0.33702344832293357,0.9361817198485668,0.9017114914425428,0.35722498283415444,0.9463857028540944,5,5139,2045,50.01,91.39
NB,5,0.6712395884370407,0.3107438403232223,0.7826368642695173,0.8691817736403724,0.2701900185631408,0.9273864563502856,0.9088682018618325,0.07591402808236472,0.9521604938271605,5,5122,2041,50.0,90.98
SVM,5,0.7947084762371387,0.3767891050462016,0.8759253775540421,0.8873101420872122,0.22047455698786467,0.9388947927736451,0.8926996570308672,0.26422554351767924,0.9417708056367987,5,5122,2041,50.0,90.98
NB,6,0.6754130223517979,0.3030104409049744,0.787531806615776,0.8542274052478134,0.3050644777058166,0.9176276771004943,0.9135082604470359,0.08109075799384058,0.9546843177189409,5,5140,2058,49.98,91.55
SVM,6,0.8022351797862002,0.3872769910324604,0.8813756922180124,0.8887269193391643,0.28305039366517226,0.9392089195646404,0.8979591836734694,0.24600495499472647,0.9449973808276585,5,5140,2058,49.98,91.55
NB,7,0.6702491450903761,0.309922220863512,0.7834456207892204,0.8563751831949193,0.29430995251118686,0.9191863661352392,0.9125549584758182,0.014078211426806625,0.9542316543083611,5,5157,2047,50.01,91.84
SVM,7,0.782608695652174,0.35803737526079893,0.8684599467927874,0.8803126526624329,0.3269422616818904,0.9336941813261164,0.9032730825598436,0.33661241297678657,0.9474801061007957,5,5157,2047,50.01,91.84
NB,8,0.6426823299069995,0.2968573017415594,0.7598684210526315,0.8678414096916299,0.2737510777616956,0.926550598476605,0.9118942731277533,0.008946939764632057,0.9538934426229508,5,5141,2043,49.99,91.48
SVM,8,0.7905041605482134,0.37436482081072675,0.8733727810650889,0.8893783651492903,0.2311185840865841,0.9400212314225053,0.9001468428781204,0.3456886547569112,0.9455419113721303,5,5141,2043,49.99,91.48
NB,9,0.6391752577319587,0.29104563684264984,0.7575057736720555,0.8458517427589592,0.3346008036362302,0.9118472768107805,0.9160530191458026,0.05677427009137102,0.9561426006668376,5,5151,2037,50.01,91.65
SVM,9,0.783014236622484,0.3838064080373691,0.8679019725044829,0.8807069219440353,0.3135785016693903,0.934056987788331,0.9067255768286696,0.331730433534109,0.9495753715498939,5,5151,2037,50.01,91.65
NB,10,0.6399416909620991,0.28461250087143936,0.7583958265405935,0.8542274052478134,0.2824407391377852,0.9179431072210066,0.913022351797862,-0.01638152471044516,0.9545339090678182,5,5142,2058,49.98,91.59
SVM,10,0.7711370262390671,0.3504450843849762,0.8601959038290293,0.891156462585034,0.28570786767140655,0.940646528881823,0.8994169096209913,0.25022800610451773,0.9458257000785135,5,5142,2058,49.98,91.59
RF,1,0.811046511627907,0.3611641394830801,0.8876728110599078,0.8972868217054264,0.16254254680740426,0.9451913133402274,0.9118217054263565,0.22342637013996325,0.953452685421995,5,5107,2064,49.97,90.79
RF,2,0.7959183673469388,0.35220476397177286,0.8778359511343805,0.9091350826044704,0.1869000245830471,0.951841359773371,0.9173955296404276,0.20149146078012875,0.9565661727133368,5,5143,2058,49.99,91.59
RF,3,0.7925817471937531,0.35110474634164873,0.8752568241855003,0.9062957540263543,0.11597288065502649,0.9505409582689336,0.9150805270863837,0.2428319416916221,0.9551315110881897,5,5132,2049,50.02,91.22
RF,4,0.8141809290953546,0.37782032688450373,0.8897911832946636,0.9114914425427872,0.1245283870890012,0.9534584726150682,0.9124694376528117,0.17459629968010576,0.9538540861046662,5,5135,2045,49.97,91.39
RF,5,0.8138167564919158,0.37344257156928284,0.889406286379511,0.8951494365507104,0.12868241603348082,0.9440961337513062,0.9044585987261147,0.08333968465376321,0.9496254197881684,5,5122,2041,50.0,90.98
RF,6,0.8036929057337221,0.3339398212736977,0.8836405529953918,0.9037900874635568,0.15285973741739867,0.9489164086687306,0.9125364431486881,0.13015101212715932,0.9540112416964741,5,5138,2058,49.96,91.55
RF,7,0.7997068881289692,0.31429901332075544,0.8815028901734103,0.9076697606253054,0.1220188014878093,0.9512258064516129,0.9174401563263312,0.17824473046021777,0.9566110397946085,5,5157,2047,50.01,91.84
RF,8,0.8051884483602545,0.36033096130569553,0.884032634032634,0.90357317670093,0.11567420941450142,0.948950505312257,0.9148311306901615,0.15505601409255199,0.9552699228791774,5,5142,2043,50.0,91.48
RF,9,0.7933235149729995,0.3517738775664593,0.8760671180453341,0.9042709867452136,0.2231234592537273,0.9488323274731042,0.9180166912125675,0.18614892390632415,0.9569698531306365,5,5149,2037,49.99,91.65
RF,10,0.814868804664723,0.35236646397309335,0.890924706555969,0.9115646258503401,0.20497368064456828,0.9531652084405559,0.9149659863945578,0.16770396614321362,0.9552772808586761,5,5141,2058,49.97,91.59
